"year","min","id"
"1986",3.31818181818182,"273"
"1987",2.75555555555556,"273"
"1988",4.66666666666667,"273"
"1989",3.79166666666667,"273"
"1990",14.8831168831169,"273"
"1991",20.225,"273"
"1992",5.05555555555556,"273"
"1993",3.22727272727273,"273"
"1994",1.71764705882353,"273"
"1995",1.9,"273"
"1996",6.5,"273"
"1997",2.76923076923077,"273"
"1998",2.32352941176471,"273"
"1999",1.69072164948454,"273"
"2000",6,"273"
"2001",5.82051282051282,"273"
"2002",2.63157894736842,"273"
"2003",2.49206349206349,"273"
"2004",1.9,"273"
"2005",2.93333333333333,"273"
"2006",5.46666666666667,"273"
"2007",5,"273"
"2008",4.94666666666667,"273"
"2009",2.90769230769231,"273"
"2010",3.96,"273"
"2011",3.78571428571429,"273"
"2012",2.6,"273"
"2013",4.3,"273"
"2014",10.625,"273"
"2015",8.2,"273"
"2016",4.5,"273"
"2017",1.73529411764706,"273"
"2018",3,"273"
"2019",8.61538461538461,"273"
"2020",1.87581699346405,"273"
"2021",2.7148288973384,"273"
"2022",10.45,"273"
