"year","min","id"
"1986",1.77450980392157,"188"
"1987",1.16666666666667,"188"
"1988",0.96,"188"
"1989",0.869565217391304,"188"
"1990",2.3,"188"
"1991",1.99298245614035,"188"
"1992",0.875912408759124,"188"
"1993",2.45454545454545,"188"
"1994",1.62962962962963,"188"
"1995",0.8,"188"
"1996",0.764331210191083,"188"
"1997",2.75925925925926,"188"
"1998",0.606060606060606,"188"
"1999",1.79661016949153,"188"
"2000",6.85185185185185,"188"
"2001",0.638297872340426,"188"
"2002",2.7,"188"
"2003",0.923076923076923,"188"
"2004",0.677966101694915,"188"
"2005",0.621761658031088,"188"
"2006",0.731707317073171,"188"
"2007",0.923076923076923,"188"
"2008",0.875912408759124,"188"
"2009",1.57377049180328,"188"
"2010",3.43478260869565,"188"
"2011",0.810810810810811,"188"
"2012",1.70286885245902,"188"
"2013",0.878477306002928,"188"
"2014",2.21461187214612,"188"
"2015",0.91324200913242,"188"
"2016",1.89389920424403,"188"
"2017",0.898203592814371,"188"
"2018",1.10982658959538,"188"
"2019",1.71653543307087,"188"
"2020",1.11660079051383,"188"
"2021",1.6120218579235,"188"
"2022",0.662251655629139,"188"
