"year","min","id"
"1986",5.4,"136"
"1987",5.94495412844037,"136"
"1988",5.3469387755102,"136"
"1989",12,"136"
"1990",5.48039215686275,"136"
"1991",5.32608695652174,"136"
"1992",5.85714285714286,"136"
"1993",4.38202247191011,"136"
"1994",4.54237288135593,"136"
"1995",3.98878504672897,"136"
"1996",6.96666666666667,"136"
"1997",6.98701298701299,"136"
"1998",4.0625,"136"
"1999",4.94444444444444,"136"
"2000",5.66666666666667,"136"
"2001",3.88235294117647,"136"
"2002",3.83333333333333,"136"
"2003",4.88888888888889,"136"
"2004",2.92307692307692,"136"
"2005",8.33333333333333,"136"
"2006",5,"136"
"2007",6.6,"136"
"2008",2.88888888888889,"136"
"2009",1.38461538461538,"136"
"2010",0.96,"136"
"2011",4.23529411764706,"136"
"2012",1.92537313432836,"136"
"2013",8,"136"
"2014",5.6,"136"
"2015",2.93908629441624,"136"
"2016",3.09615384615385,"136"
"2017",3.6970802919708,"136"
"2018",6.67391304347826,"136"
"2019",5.88,"136"
"2020",4.69026548672566,"136"
"2021",9.90740740740741,"136"
"2022",21.3157894736842,"136"
