"year","min","id"
"1986",1.74736842105263,"235"
"1987",1.34285714285714,"235"
"1988",12.7714285714286,"235"
"1989",3.9,"235"
"1990",5.53846153846154,"235"
"1991",3.89830508474576,"235"
"1992",2.34782608695652,"235"
"1993",1.62162162162162,"235"
"1994",1.74193548387097,"235"
"1995",0.863309352517986,"235"
"1996",14.3333333333333,"235"
"1997",2.54347826086957,"235"
"1998",1.5,"235"
"1999",1.72727272727273,"235"
"2000",1.64893617021277,"235"
"2001",0.869565217391304,"235"
"2002",2.67647058823529,"235"
"2003",1,"235"
"2004",2.61111111111111,"235"
"2005",4,"235"
"2006",2.63157894736842,"235"
"2007",4.31578947368421,"235"
"2008",3.18518518518519,"235"
"2009",3.95,"235"
"2010",0.645161290322581,"235"
"2011",1.51470588235294,"235"
"2012",4.21951219512195,"235"
"2013",1.19148936170213,"235"
"2014",5.53333333333333,"235"
"2015",83.9493670886076,"235"
"2016",15.6363636363636,"235"
"2017",5.54166666666667,"235"
"2018",2,"235"
"2019",6.3728813559322,"235"
"2020",2.84285714285714,"235"
"2021",1.75933609958506,"235"
"2022",0.834492350486787,"235"
