"year","min","id"
"1986",6.42105263157895,"129"
"1987",2.82795698924731,"129"
"1988",11.4285714285714,"129"
"1989",4.47826086956522,"129"
"1990",0.896860986547085,"129"
"1991",3.73099415204678,"129"
"1992",2.48979591836735,"129"
"1993",7.81818181818182,"129"
"1994",3.30672268907563,"129"
"1995",1.28205128205128,"129"
"1996",5.28205128205128,"129"
"1997",1.36764705882353,"129"
"1998",1.33846153846154,"129"
"1999",2.28163265306122,"129"
"2000",2.47368421052632,"129"
"2001",0.827586206896552,"129"
"2002",0.983606557377049,"129"
"2003",2.84444444444444,"129"
"2004",2.77777777777778,"129"
"2005",2.96296296296296,"129"
"2006",4.17647058823529,"129"
"2007",2.3469387755102,"129"
"2008",2.94117647058824,"129"
"2009",4.66666666666667,"129"
"2010",0.952380952380952,"129"
"2011",1.60869565217391,"129"
"2012",1.94666666666667,"129"
"2013",4.71604938271605,"129"
"2014",1.63013698630137,"129"
"2015",34,"129"
"2016",0.584225900681597,"129"
"2017",1.9515503875969,"129"
"2018",1.17424242424242,"129"
"2019",3.98586572438163,"129"
"2020",3.33834586466165,"129"
"2021",0.958466453674121,"129"
"2022",0.683371298405467,"129"
